date,race,first_dose,second_dose,third_dose,fourth_dose,total_deaths,total_vax
2023-01-11,asian,62,25,72,238,492,397
2023-01-11,other,73,33,62,135,1236,303
2023-01-11,white,155,116,347,949,8819,1567
2023-01-12,african_american,189,83,250,569,5233,1091
2023-01-12,asian,61,36,64,228,492,389
2023-01-12,other,66,22,72,99,1237,259
2023-01-12,white,140,126,303,904,8826,1473
2023-01-13,african_american,136,108,311,689,5236,1244
2023-01-13,asian,68,37,108,288,492,501
2023-01-13,other,67,49,100,184,1237,400
2023-01-13,white,201,160,413,1156,8831,1930
2023-01-14,african_american,63,43,120,329,5237,555
2023-01-14,asian,43,20,84,185,493,332
2023-01-14,other,33,20,65,121,1238,239
2023-01-14,white,111,67,322,623,8842,1123
2023-01-15,african_american,27,18,48,137,NA,230
2023-01-15,asian,24,7,46,94,NA,171
2023-01-15,other,10,5,25,48,NA,88
2023-01-15,white,43,32,110,277,NA,462
2023-01-16,african_american,59,49,157,326,NA,591
2023-01-16,asian,42,18,61,147,NA,268
2023-01-16,other,25,13,47,88,NA,173
2023-01-16,white,116,80,204,591,NA,991
2023-01-17,african_american,122,90,226,441,NA,879
